Time (s);X (m);Y (m)
8.725;145.41666666666666;-0.01223820035026384
8.73;145.50000000000003;-0.013206066683502556
8.735;145.58333333333334;-0.022616982630483583
8.74;145.66666666666669;-0.030159967120118758
8.745000000000001;145.75000000000003;-0.032770962573823385
8.75;145.83333333333334;-0.035335875328075035
8.755;145.91666666666669;-0.03801270412035939
8.76;146.0;-0.037355852283778385
8.765;146.08333333333334;-0.0318242794487439
8.77;146.16666666666666;-0.02339525160219883
8.775;146.25000000000003;-0.015890376344680213
8.78;146.33333333333334;-0.01045208551536174
8.785;146.41666666666669;-0.0067336398163123125
8.790000000000001;146.50000000000003;-0.0064440187918144605
8.795;146.58333333333334;-0.009225589760485174
8.8;146.66666666666669;-0.010688337474032208
8.805;146.75;-0.009466960941995516
8.81;146.83333333333334;-0.009242673443863827
8.815;146.91666666666666;-0.009884892369411036
8.82;147.00000000000003;-0.005466556604739054
8.825000000000001;147.08333333333337;0.0032060950189344503
8.83;147.16666666666669;0.007569504605353521
8.835;147.25000000000003;0.007925143364639273
8.84;147.33333333333334;0.011280387590187627
8.845;147.41666666666669;0.015545057414332666
8.85;147.5;0.017491415677351498
8.855;147.58333333333334;0.020653649129516866
8.86;147.66666666666666;0.023629237613920762
8.865;147.75;0.024283452977669366
8.870000000000001;147.83333333333337;0.02694240538989137
8.875;147.91666666666669;0.028309391711182772
8.88;148.00000000000003;0.02350868566819247
8.885;148.08333333333334;0.021656242254220387
8.89;148.16666666666669;0.02572875433523429
8.895;148.25;0.025879711411147453
8.9;148.33333333333334;0.02443517696317731
8.905;148.41666666666666;0.028094965668743862
8.91;148.5;0.03017512649884962
8.915000000000001;148.58333333333337;0.027241287013925683
8.92;148.66666666666669;0.022705444416805186
8.925;148.75000000000003;0.01631182270912999
8.93;148.83333333333334;0.014277095562298583
8.935;148.91666666666669;0.02251537517422816
8.94;149.0;0.02996172358112011
8.945;149.08333333333334;0.029207482231772296
8.950000000000001;149.16666666666669;0.027982338697982338
8.955;149.25;0.028015774902283144
8.96;149.33333333333337;0.026689355487555036
8.965;149.41666666666669;0.027278287385760356
8.97;149.50000000000003;0.027075903465568908
8.975;149.58333333333334;0.020868619990650795
8.98;149.66666666666669;0.013855118001267694
8.985;149.75;0.011417488260854178
8.99;149.83333333333334;0.01161883188106876
8.995000000000001;149.91666666666669;0.01082027384680264
9.0;150.0;0.006726750266403048
9.005;150.08333333333337;0.00415380496108223
9.01;150.16666666666669;0.009733844122173381
9.015;150.25000000000003;0.01647280817143305
9.02;150.33333333333334;0.015390502664461621
9.025;150.41666666666669;0.01138867184898355
9.03;150.5;0.008813010763035228
9.035;150.58333333333334;0.006365279513427623
9.040000000000001;150.66666666666669;0.007158277474707194
9.045;150.75;0.009768224579127942
9.05;150.83333333333334;0.009035504098012088
9.055;150.91666666666669;0.011430529515272913
9.06;151.00000000000003;0.01948536954584889
9.065;151.08333333333334;0.020367222443096716
9.07;151.16666666666669;0.014518228629743009
9.075000000000001;151.25000000000003;0.0175157844630804
9.08;151.33333333333334;0.025760348848909563
9.085;151.41666666666669;0.024572653527702628
9.09;151.5;0.02071468005029846
9.095;151.58333333333334;0.027299277170196774
9.1;151.66666666666669;0.035770680032584073
9.105;151.75000000000003;0.03286274844366401
9.11;151.83333333333334;0.024693426407964604
9.115;151.91666666666669;0.023201884174896825
9.120000000000001;152.00000000000003;0.026744870019962896
9.125;152.08333333333334;0.028661717913950256
9.13;152.16666666666669;0.029765434758657672
9.135;152.25;0.03190560332200217
9.14;152.33333333333334;0.03223191703693191
9.145;152.41666666666666;0.030213361030007126
9.15;152.50000000000003;0.0291866268538376
9.155;152.58333333333334;0.02936110011136147
9.16;152.66666666666669;0.02850920763117498
9.165000000000001;152.75000000000003;0.02644569357941529
9.17;152.83333333333334;0.022872212443467783
9.175;152.91666666666669;0.018815225858735126
9.18;153.0;0.020661187618879036
9.185;153.08333333333334;0.029807933948145317
9.19;153.16666666666666;0.035144735255473736
9.195;153.25000000000003;0.03052464833092327
9.200000000000001;153.33333333333337;0.024273758636263847
9.205;153.41666666666669;0.021253983443935212
9.21;153.50000000000003;0.018487369346458456
9.215;153.58333333333334;0.018366655468195204
9.22;153.66666666666669;0.022371402790394717
9.225;153.75;0.024423043838512203
9.23;153.83333333333334;0.025017025919128695
9.235;153.91666666666666;0.02960409497257917
9.24;154.00000000000003;0.03366900668803153
9.245000000000001;154.08333333333337;0.03290377954643358
9.25;154.16666666666669;0.03476424696809232
9.255;154.25000000000003;0.04448804068750928
9.26;154.33333333333334;0.05625218442869114
9.265;154.41666666666669;0.06258032521062466
9.27;154.5;0.06305257707606111
9.275;154.58333333333334;0.06444182522206367
9.28;154.66666666666666;0.06990750872299505
9.285;154.75;0.07269437973224084
9.290000000000001;154.83333333333337;0.07119908542808351
9.295;154.91666666666669;0.07381033310241547
9.3;155.00000000000003;0.0793803392165483
9.305;155.08333333333334;0.07914391239710518
9.31;155.16666666666669;0.07650110100185234
9.315;155.25;0.07673752354283947
9.32;155.33333333333334;0.0728773203543483
9.325000000000001;155.41666666666669;0.06365965629923692
9.33;155.5;0.06019707970524724
9.335;155.58333333333337;0.06407899492284974
9.34;155.66666666666669;0.0662850437462938
9.345;155.75000000000003;0.06701311199749856
9.35;155.83333333333334;0.072197282782977
9.355;155.91666666666669;0.07866454666971358
9.36;156.0;0.08109271890827992
9.365;156.08333333333334;0.08237106250763798
9.370000000000001;156.16666666666669;0.08669594797994085
9.375;156.25;0.09384632571064923
9.38;156.33333333333337;0.1023355777188521
9.385;156.41666666666669;0.10933998801749276
9.39;156.50000000000003;0.11175975330753068
9.395;156.58333333333334;0.1105647474868444
9.4;156.66666666666669;0.1087071576581286
9.405;156.75;0.10914184310635436
9.41;156.83333333333334;0.11487522418791261
